order_id,customer_id,region,product_id,quantity,sales_amount,order_date
1,1,North,1,1,1000.00,2026-01-15
2,2,North,2,1,2000.00,2026-01-18
3,3,South,4,2,300.00,2026-02-10
4,4,East,6,3,270.00,2026-02-14
5,1,North,3,1,1200.00,2026-03-05
6,6,West,8,2,1800.00,2026-03-22
7,5,South,5,1,600.00,2026-04-02
8,7,East,7,5,250.00,2026-04-19
9,1,North,10,1,150.00,2026-05-01
10,9,North,3,2,1200.00,2026-05-12
11,8,South,1,1,1000.00,2026-05-25
12,4,East,9,4,160.00,2026-06-02
13,3,West,2,1,2000.00,2026-06-11
14,4,North,3,2,2400.00,2026-06-18
15,5,South,6,2,180.00,2026-06-25
